n,m,phi_n,e_m,ratio,deviation,deviation_pct
187,89.98661128614584,1.2041725606044359e+39,1.2041725606044359e+39,1.0,0.0,0.0
189,90.94903493626505,3.152564691982403e+39,3.152564691982403e+39,1.0,0.0,0.0
188,90.46782311120545,1.948392131377969e+39,1.948392131377969e+39,1.0,0.0,0.0
192,92.39267041144387,1.335447833870331e+40,1.335447833870331e+40,1.0,0.0,0.0
175,84.21206938543061,3.7397024058977825e+36,3.7397024058977825e+36,1.0,0.0,0.0
179,86.13691668566902,2.563230161345261e+37,2.563230161345261e+37,1.0,0.0,0.0
176,84.69328121049021,6.050965600552365e+36,6.050965600552365e+36,1.0,0.0,0.0
177,85.17449303554982,9.79066800645014e+36,9.79066800645014e+36,1.0,0.0,0.0
178,85.65570486060942,1.5841633607002493e+37,1.5841633607002493e+37,1.0,0.0,0.0
181,87.09934033578823,6.710623683390764e+37,6.710623683390764e+37,1.0,0.0,0.0
180,86.61812851072862,4.147393522045508e+37,4.147393522045508e+37,1.0,0.0,0.0
182,87.58055216084783,1.0858017205436264e+38,1.0858017205436264e+38,1.0,0.0,0.0
183,88.06176398590743,1.7568640888827016e+38,1.7568640888827016e+38,1.0,0.0,0.0
198,95.27994136180149,2.396363905258853e+41,2.396363905258853e+41,1.0,0.0,0.0
196,94.31751771168229,9.1532956239545e+40,9.1532956239545e+40,1.0,0.0,0.0
194,93.35509406156308,3.496247819274946e+40,3.496247819274946e+40,1.0,0.0,0.0
195,93.83630588662268,5.65704780467956e+40,5.65704780467956e+40,1.0,0.0,0.0
191,91.91145858638426,8.253521515342764e+39,8.253521515342764e+39,1.0,0.0,0.0
162,77.95631565965576,7.177905237579941e+33,7.177905237579941e+33,1.0,0.0,0.0
160,76.99389200953655,2.741715832729651e+33,2.741715832729651e+33,1.0,0.0,0.0
159,76.51268018447695,1.6944735721206466e+33,1.6944735721206466e+33,1.0,0.0,0.0
166,79.88116295989417,4.9198094402450475e+34,4.9198094402450475e+34,1.0,0.0,0.0
174,83.730857560371,2.311263194654586e+36,2.311263194654586e+36,1.0,0.0,0.0
172,82.7684339102518,8.828239834113886e+35,8.828239834113886e+35,1.0,0.0,0.0
173,83.2496457353114,1.4284392112431993e+36,1.4284392112431993e+36,1.0,0.0,0.0
171,82.2872220851922,5.456152278318118e+35,5.456152278318118e+35,1.0,0.0,0.0
170,81.8060102601326,3.372087555795775e+35,3.372087555795775e+35,1.0,0.0,0.0
169,81.32479843507299,2.0840647225223472e+35,2.0840647225223472e+35,1.0,0.0,0.0
168,80.84358661001339,1.2880228332734297e+35,1.2880228332734297e+35,1.0,0.0,0.0
207,99.61084778733792,1.8215518244659178e+43,1.8215518244659178e+43,1.0,0.0,0.0
206,99.12963596227831,1.12578093978932e+43,1.12578093978932e+43,1.0,0.0,0.0
205,98.64842413721871,6.957708846765991e+42,6.957708846765991e+42,1.0,0.0,0.0
204,98.16721231215911,4.3001005511272185e+42,4.3001005511272185e+42,1.0,0.0,0.0
202,97.2047886620399,1.6424922554884442e+42,1.6424922554884442e+42,1.0,0.0,0.0
201,96.7235768369803,1.0151160401503351e+42,1.0151160401503351e+42,1.0,0.0,0.0
200,96.2423650119207,6.273762153381103e+41,6.273762153381103e+41,1.0,0.0,0.0
199,95.7611531868611,3.877398248122255e+41,3.877398248122255e+41,1.0,0.0,0.0
131,63.03874908280805,2.384409660666974e+27,2.384409660666974e+27,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
128,61.595113607629244,5.628827661246133e+26,5.628827661246133e+26,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
125,60.151478132450436,1.328785961685248e+26,1.328785961685248e+26,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
118,56.78299535703321,4.576585175559985e+24,4.576585175559985e+24,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
113,54.37693623173519,4.126704278449226e+23,4.126704278449226e+23,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
76,36.572098704529864,7639424778862824.0,7639424778862824.0,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
48,23.09816760286097,10749957122.00003,10749957122.00003,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
70,33.68482775417224,425730551631122.25,425730551631122.25,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
53,25.504226728158983,119218851371.00003,119218851371.00003,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
34,16.361202052026517,12752042.999999918,12752042.999999918,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
10,4.8121182505960345,122.99186938124421,122.99186938124421,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
24,11.549083801430484,103681.99999035528,103681.99999035528,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
47,22.616955777801362,6643838878.999999,6643838878.999999,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
106,51.008453456317966,1.4213134522220594e+22,1.4213134522220594e+22,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
92,44.27148790548352,1.686020702549742e+19,1.686020702549742e+19,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
89,42.82785243030471,3.980154972736928e+18,3.980154972736928e+18,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
83,39.940581479947085,2.2180643453797834e+17,2.2180643453797834e+17,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
73,35.128463229351055,1803423556807927.8,1803423556807927.8,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
72,34.64725140429145,1114577054219526.9,1114577054219526.9,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-14
