n,m,phi_n,e_m,ratio,deviation,deviation_pct
158,76.03146835941723,1.0472422606090065e+33,1.0472422606088873e+33,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
155,74.58783288423842,2.4722036241427623e+32,2.4722036241424812e+32,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
156,75.06904470929803,4.000109490973657e+32,4.000109490973202e+32,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
162,77.95631565965564,7.177905237579941e+33,7.177905237579124e+33,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
164,78.91873930977485,1.8791999880010152e+34,1.8791999880008016e+34,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
161,77.47510383459604,4.4361894048502945e+33,4.43618940484979e+33,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
172,82.76843391025169,8.828239834113886e+35,8.828239834112882e+35,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
169,81.32479843507288,2.0840647225223472e+35,2.0840647225221103e+35,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
170,81.80601026013248,3.372087555795775e+35,3.372087555795391e+35,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
168,80.84358661001328,1.2880228332734297e+35,1.2880228332732833e+35,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
139,66.88844368328476,1.1201649894398829e+29,1.1201649894397557e+29,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
192,92.39267041144376,1.335447833870331e+40,1.3354478338701792e+40,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
185,89.02418763602653,4.599529898309024e+38,4.599529898308501e+38,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
186,89.50539946108613,7.442195707735344e+38,7.442195707734498e+38,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
187,89.98661128614573,1.2041725606044359e+39,1.204172560604299e+39,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
188,90.46782311120533,1.948392131377969e+39,1.9483921313777474e+39,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
173,83.24964573531129,1.4284392112431993e+36,1.428439211243037e+36,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
174,83.7308575603709,2.311263194654586e+36,2.3112631946543234e+36,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
171,82.28722208519208,5.456152278318118e+35,5.456152278317498e+35,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
175,84.2120693854305,3.7397024058977825e+36,3.7397024058973575e+36,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
176,84.6932812104901,6.050965600552365e+36,6.050965600551677e+36,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
178,85.6557048606093,1.5841633607002493e+37,1.584163360700069e+37,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
179,86.13691668566891,2.563230161345261e+37,2.56323016134497e+37,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
180,86.61812851072851,4.147393522045508e+37,4.147393522045036e+37,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
181,87.09934033578811,6.710623683390764e+37,6.710623683390001e+37,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
183,88.06176398590732,1.7568640888827016e+38,1.7568640888825018e+38,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
184,88.54297581096692,2.8426658094263256e+38,2.8426658094260026e+38,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
196,94.31751771168217,9.1532956239545e+40,9.153295623953459e+40,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
193,92.87388223650336,2.1607999854046178e+40,2.1607999854043721e+40,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
194,93.35509406156297,3.496247819274946e+40,3.4962478192745487e+40,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
195,93.83630588662257,5.65704780467956e+40,5.657047804678917e+40,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
198,95.27994136180138,2.396363905258853e+41,2.3963639052585807e+41,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
189,90.94903493626494,3.152564691982403e+39,3.1525646919820444e+39,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
190,91.43024676132454,5.1009568233603675e+39,5.100956823359788e+39,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
191,91.91145858638414,8.253521515342764e+39,8.253521515341826e+39,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
199,95.76115318686098,3.877398248122255e+41,3.877398248121814e+41,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
197,94.79872953674177,1.481034342863405e+41,1.4810343428632364e+41,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
205,98.6484241372186,6.957708846765991e+42,6.9577088467652e+42,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
206,99.1296359622782,1.12578093978932e+43,1.125780939789192e+43,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
204,98.167212312159,4.3001005511272185e+42,4.3001005511267295e+42,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
203,97.68600048709939,2.6576082956387774e+42,2.6576082956384754e+42,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
